"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
17,93.444,92.6574124391,94.2305875609,0.098,0.0872737247066,0.108726275293,1620.96,1604.31220781,1637.60779219
18,93.72,92.8918885841,94.5481114159,0.088,0.078670933496,0.097329066504,1714.6,1697.87111289,1731.32888711
19,93.428,92.4767214231,94.3792785769,0.092,0.0793683842404,0.10463161576,1812.36,1795.36980253,1829.35019747
20,93.454,92.5746056713,94.3333943287,0.098,0.0889398393349,0.107060160665,1905.74,1888.40215592,1923.07784408
21,93.514,92.6773534823,94.3506465177,0.102,0.0929398393349,0.111060160665,2001.78,1982.8227233,2020.7372767
22,92.836,92.0800682003,93.5919317997,0.098,0.0889398393349,0.107060160665,2095.08,2074.58644706,2115.57355294
23,93.12,92.3609729672,93.8790270328,0.096,0.087961699062,0.104038300938,2189.66,2168.10208891,2211.21791109
24,93.3,92.5269436144,94.0730563856,0.098,0.0889398393349,0.107060160665,2288.62,2266.73538168,2310.50461832
25,92.896,92.115707476,93.676292524,0.102,0.0912737247066,0.112726275293,2384.24,2362.69126992,2405.78873008
26,92.514,91.7657995166,93.2622004834,0.104,0.095961699062,0.112038300938,2479.2,2457.58234993,2500.81765007
27,92.924,92.1371526354,93.7108473646,0.108,0.0953683842404,0.12063161576,2574.14,2551.67769471,2596.60230529
28,92.278,91.4343243381,93.1216756619,0.112,0.0983643521234,0.125635647877,2668.02,2644.81683355,2691.22316645
29,92.618,91.7786060805,93.4573939195,0.108,0.0953683842404,0.12063161576,2761.06,2737.50642266,2784.61357734
30,92.642,91.7340740343,93.5499259657,0.1,0.0885167129458,0.111483287054,2856.7,2833.21090545,2880.18909455
31,91.666,90.9748623154,92.3571376846,0.112,0.101045642318,0.122954357682,2950.28,2924.96892066,2975.59107934
32,92.842,92.0794611015,93.6045388985,0.102,0.0929398393349,0.111060160665,3045.78,3020.05094707,3071.50905293
33,91.646,90.6756756638,92.6163243362,0.118,0.104304043789,0.131695956211,3139.18,3113.00958565,3165.35041435
34,91.426,90.3825234612,92.4694765388,0.13,0.109904247655,0.150095752345,3233.86,3207.00315875,3260.71684125
35,91.744,90.8738774605,92.6141225395,0.112,0.0972048195886,0.126795180411,3326.64,3300.1026876,3353.1773124
36,91.17,90.535340582,91.804659418,0.118,0.103149219316,0.132850780684,3421.56,3395.3351942,3447.7848058
37,90.776,89.9173111518,91.6346888482,0.124,0.106247269028,0.141752730972,3517.7,3490.94682138,3544.45317862
38,91.292,90.2982669644,92.2857330356,0.122,0.10449975686,0.13950024314,3613.56,3587.13401721,3639.98598279
39,90.896,90.0807683001,91.7112316999,0.128,0.108922530746,0.147077469254,3707.42,3677.8485241,3736.9914759
40,91.062,90.011359401,92.112640599,0.132,0.112579999452,0.151420000548,3801.66,3772.46603715,3830.85396285
41,90.33,89.3407154867,91.3192845133,0.134,0.115297747439,0.152702252561,3897.26,3867.19901077,3927.32098923
42,90.798,89.6698950359,91.9261049641,0.128,0.108922530746,0.147077469254,3993.56,3961.50012267,4025.61987733
43,89.772,88.3889664271,91.1550335729,0.156,0.130220084501,0.181779915499,4087.78,4054.92584162,4120.63415838
44,90.508,89.6068940919,91.4091059081,0.132,0.111749002699,0.152250997301,4182.56,4149.34400116,4215.77599884
45,90.22,89.1215138982,91.3184861018,0.138,0.117385980417,0.158614019583,4278.96,4246.79285733,4311.12714267
46,90.04,88.9914777918,91.0885222082,0.138,0.118201734092,0.157798265908,4371.72,4339.58674234,4403.85325766
47,90.192,88.8823659746,91.5016340254,0.146,0.120834827713,0.171165172287,4463.04,4431.44895971,4494.63104029
48,89.654,88.4818014635,90.8261985365,0.146,0.122883199074,0.169116800926,4558.68,4526.1128108,4591.2471892
49,89.702,88.3671760495,91.0368239505,0.152,0.124320751963,0.179679248037,4657.24,4624.84468453,4689.63531547
50,90.058,89.0857430694,91.0302569306,0.14,0.121843328942,0.158156671058,4755.94,4723.6271744,4788.2528256
51,88.962,87.5458042157,90.3781957843,0.168,0.136846623163,0.199153376837,4853.4,4821.26351288,4885.53648712
52,89.176,87.6338843312,90.7181156688,0.158,0.133579446169,0.182420553831,4949.04,4915.92544938,4982.15455062
53,88.292,86.6200590374,89.9639409626,0.176,0.146409639177,0.205590360823,5042.12,5008.6292517,5075.6107483
54,88.84,87.6037586801,90.0762413199,0.158,0.134968922982,0.181031077018,5138.88,5105.13805363,5172.62194637
