"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
340,33.5,24.1597286692,42.8402713308,0.87,0.752939590051,0.987060409949
350,31.32,22.92269981,39.71730019,0.9,0.783182706429,1.01681729357
360,31.24,22.9406814173,39.5393185827,0.88,0.769177384666,0.990822615334
370,28.54,22.2220308758,34.8579691242,0.94,0.889981823162,0.990018176838
380,28.85,21.5581730521,36.1418269479,0.94,0.879675808994,1.00032419101
390,28.86,23.1532430539,34.5667569461,0.92,0.846118256444,0.993881743556
400,27.54,21.6269406078,33.4530593922,0.94,0.863101443229,1.01689855677
410,26.82,21.0254814961,32.6145185039,0.95,0.880479804896,1.0195201951
420,25.72,20.5873675126,30.8526324874,0.95,0.880479804896,1.0195201951
430,23.52,20.6264031761,26.4135968239,0.99,0.967378428373,1.01262157163
440,23.59,20.2315536004,26.9484463996,0.99,0.967378428373,1.01262157163
450,23.37,20.7561342004,25.9838657996,0.98,0.949837904497,1.0101620955
460,22.08,21.2715095451,22.8884904549,1.0,1.0,1.0
470,21.84,21.4118469561,22.2681530439,1.0,1.0,1.0
480,21.95,20.7623974127,23.1376025873,1.0,1.0,1.0
490,21.83,21.2758356189,22.3841643811,1.0,1.0,1.0
500,21.44,21.0796292205,21.8003707795,1.0,1.0,1.0
510,21.47,21.0038882637,21.9361117363,1.0,1.0,1.0
520,21.64,21.3380022541,21.9419977459,1.0,1.0,1.0
530,21.24,20.9127030422,21.5672969578,1.0,1.0,1.0
540,22.06,20.3450653672,23.7749346328,0.99,0.967378428373,1.01262157163
550,21.45,21.0492156585,21.8507843415,1.0,1.0,1.0
560,21.48,21.1234360608,21.8365639392,1.0,1.0,1.0
570,21.57,21.1854332823,21.9545667177,1.0,1.0,1.0
580,22.04,21.1995105997,22.8804894003,1.0,1.0,1.0
590,21.39,21.0388187702,21.7411812298,1.0,1.0,1.0
600,21.66,21.2371923972,22.0828076028,1.0,1.0,1.0
610,21.49,21.0395207478,21.9404792522,1.0,1.0,1.0
620,21.27,20.8869146696,21.6530853304,1.0,1.0,1.0
630,21.38,20.9686438612,21.7913561388,1.0,1.0,1.0
640,21.44,21.1127030422,21.7672969578,1.0,1.0,1.0
650,21.08,20.812763153,21.347236847,1.0,1.0,1.0
660,21.46,21.0949264886,21.8250735114,1.0,1.0,1.0
670,21.51,21.1720196217,21.8479803783,1.0,1.0,1.0
680,21.21,20.7434005714,21.6765994286,1.0,1.0,1.0
690,21.21,20.7909069358,21.6290930642,1.0,1.0,1.0
700,21.49,20.9938702016,21.9861297984,1.0,1.0,1.0
710,21.17,20.8464596778,21.4935403222,1.0,1.0,1.0
720,21.56,21.1023206371,22.0176793629,1.0,1.0,1.0
730,21.48,21.1282525441,21.8317474559,1.0,1.0,1.0
740,21.3,20.8668298821,21.7331701179,1.0,1.0,1.0
750,21.54,20.9635566638,22.1164433362,1.0,1.0,1.0
760,21.31,21.0588881009,21.5611118991,1.0,1.0,1.0
770,21.1,20.7052912075,21.4947087925,1.0,1.0,1.0
780,21.15,20.7112866442,21.5887133558,1.0,1.0,1.0
790,21.71,21.3720196217,22.0479803783,1.0,1.0,1.0
800,21.41,21.042984801,21.777015199,1.0,1.0,1.0
810,21.42,21.1703642406,21.6696357594,1.0,1.0,1.0
820,21.14,20.9058791801,21.3741208199,1.0,1.0,1.0
830,21.62,21.1385861206,22.1014138794,1.0,1.0,1.0
840,21.56,21.198054854,21.921945146,1.0,1.0,1.0
850,21.47,21.1243675215,21.8156324785,1.0,1.0,1.0
860,21.56,21.1887488333,21.9312511667,1.0,1.0,1.0
870,21.59,21.1946434946,21.9853565054,1.0,1.0,1.0
880,21.55,21.2423133606,21.8576866394,1.0,1.0,1.0
890,21.58,21.1497273736,22.0102726264,1.0,1.0,1.0
