"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
30,94.034,93.1978934791,94.8701065209,0.088,0.078670933496,0.097329066504,2903.62,2881.81581936,2925.42418064
31,93.932,93.1410598964,94.7229401036,0.096,0.0861217029625,0.105878297038,3000.4,2978.37797135,3022.42202865
32,93.548,92.7434271167,94.3525728833,0.1,0.0942583564729,0.105741643527,3098.58,3076.05393719,3121.10606281
33,93.17,92.3445351503,93.9954648497,0.096,0.087961699062,0.104038300938,3195.68,3172.26912601,3219.09087399
34,93.2,92.5249233475,93.8750766525,0.098,0.093980849531,0.102019150469,3293.94,3270.4050452,3317.4749548
35,93.37,92.4582846792,94.2817153208,0.09,0.0813875347093,0.0986124652907,3393.94,3370.4050452,3417.4749548
36,93.518,92.6721116975,94.3638883025,0.092,0.0823240103393,0.101675989661,3491.88,3468.19604129,3515.56395871
37,93.85,92.9245573081,94.7754426919,0.088,0.078670933496,0.097329066504,3591.78,3568.08861997,3615.47138003
38,93.63,92.6783886209,94.5816113791,0.09,0.0781632986365,0.101836701363,3687.0,3662.22482481,3711.77517519
39,93.86,92.929339978,94.790660022,0.09,0.0781632986365,0.101836701363,3783.08,3757.52434262,3808.63565738
40,92.782,92.0256337477,93.5383662523,0.098,0.0872737247066,0.108726275293,3881.82,3855.57229217,3908.06770783
41,93.502,92.5947932502,94.4092067498,0.098,0.0889398393349,0.107060160665,3974.32,3947.82752915,4000.81247085
42,92.628,91.8307786372,93.4252213628,0.098,0.0889398393349,0.107060160665,4072.66,4046.61023166,4098.70976834
43,92.756,92.0280746238,93.4839253762,0.098,0.0909914308961,0.105008569104,4165.02,4137.81499932,4192.22500068
44,92.468,91.745044312,93.190955688,0.096,0.0903743612294,0.101625638771,4264.36,4237.22468897,4291.49531103
45,92.696,91.97515592,93.41684408,0.096,0.087961699062,0.104038300938,4361.46,4334.39436439,4388.52563561
46,92.07,91.544106511,92.595893489,0.1,0.0942583564729,0.105741643527,4460.1,4433.0933174,4487.1066826
47,93.228,92.4833099413,93.9726900587,0.096,0.087961699062,0.104038300938,4556.36,4529.12888164,4583.59111836
48,92.944,92.1448556206,93.7431443794,0.098,0.0889398393349,0.107060160665,4654.64,4627.45316572,4681.82683428
49,92.45,91.7696394688,93.1303605312,0.098,0.0909914308961,0.105008569104,4754.64,4727.45316572,4781.82683428
50,93.402,92.5549861381,94.2490138619,0.094,0.0850865722841,0.102913427716,4853.16,4825.7235121,4880.5964879
51,92.786,92.0268424636,93.5451575364,0.1,0.0900551816921,0.109944818308,4951.62,4923.08646417,4980.15353583
52,92.446,91.6816664702,93.2103335298,0.092,0.0842116557907,0.0997883442093,5045.1,5014.46585657,5075.73414343
53,92.364,91.7124876357,93.0155123643,0.094,0.0871821760617,0.100817823938,5142.94,5112.01820247,5173.86179753
