"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
23,83.908,82.4350268136,85.3809731864,0.25,0.224808641262,0.275191358738,4034.76,3994.00733017,4075.51266983
24,84.688,83.1987363138,86.1772636862,0.246,0.218338622995,0.273661377005,4083.34,4039.88912448,4126.79087552
25,82.594,81.1350754952,84.0529245048,0.28,0.251871806147,0.308128193853,4132.74,4089.08078236,4176.39921764
26,85.312,84.1076276202,86.5163723798,0.25,0.222916721649,0.277083278351,4181.88,4136.96832115,4226.79167885
27,83.868,82.4232098962,85.3127901038,0.262,0.235757485515,0.288242514485,4232.6,4186.44686358,4278.75313642
28,81.468,79.9871518818,82.9488481182,0.294,0.2680607313,0.3199392687,4279.58,4233.68554918,4325.47445082
29,81.698,80.2373921293,83.1586078707,0.31,0.281725684676,0.338274315324,4325.86,4278.63931861,4373.08068139
30,82.98,81.2667374425,84.6932625575,0.284,0.249378318015,0.318621681985,4377.62,4329.63102568,4425.60897432
31,81.18,79.5376892067,82.8223107933,0.328,0.297058986762,0.358941013238,4421.76,4372.52549681,4470.99450319
32,80.462,78.911087703,82.012912297,0.312,0.282365108887,0.341634891113,4471.24,4421.99471775,4520.48528225
33,81.812,80.3373849704,83.2866150296,0.306,0.278819518005,0.333180481995,4515.82,4465.43693279,4566.20306721
34,81.112,79.5935807106,82.6304192894,0.32,0.290165545076,0.349834454924,4569.48,4519.10025192,4619.85974808
35,80.424,78.9581531224,81.8898468776,0.33,0.300582830731,0.359417169269,4614.9,4564.02906265,4665.77093735
36,81.382,79.9609729215,82.8030270785,0.32,0.291871806147,0.348128193853,4659.58,4607.43642131,4711.72357869
37,79.274,77.7722247587,80.7757752413,0.344,0.317588439775,0.370411560225,4708.2,4656.1025021,4760.2974979
38,79.65,78.0021858189,81.2978141811,0.34,0.307016769064,0.372983230936,4755.5,4703.66643258,4807.33356742
39,79.684,78.01163004,81.35636996,0.34,0.30855172323,0.37144827677,4796.94,4745.189461,4848.690539
40,79.538,78.0562232958,81.0197767042,0.354,0.32350435884,0.38449564116,7465.2,7354.73343453,7575.66656547
41,78.886,77.3924991855,80.3795008145,0.368,0.34141426839,0.39458573161,7514.48,7402.74936897,7626.21063103
42,77.666,76.1826031969,79.1493968031,0.376,0.347545536153,0.404454463847,7565.18,7453.55823096,7676.80176904
43,77.472,75.7624451403,79.1815548597,0.382,0.355259716852,0.408740283148,7608.96,7497.69139312,7720.22860688
44,77.234,75.5909305138,78.8770694862,0.39,0.35639789276,0.42360210724,7650.28,7538.60881143,7761.95118857
45,76.81,75.026239899,78.593760101,0.388,0.354698467543,0.421301532457,7694.26,7582.84431632,7805.67568368
46,75.862,74.1954698908,77.5285301092,0.412,0.381814022433,0.442185977567,7738.74,7628.05573872,7849.42426128
47,75.954,74.2865767974,77.6214232026,0.396,0.362051394654,0.429948605346,7784.26,7674.70001078,7893.81998922
48,76.708,75.1293002649,78.2866997351,0.408,0.379383796119,0.436616203881,7824.5,7713.67169994,7935.32830006
49,76.216,74.5429599517,77.8890400483,0.432,0.395941747238,0.468058252762,7865.3,7754.00632651,7976.59367349
50,75.15,73.4602268964,76.8397731036,0.444,0.414633303464,0.473366696536,7909.52,7799.0577881,8019.9822119
51,73.482,71.970052998,74.993947002,0.45,0.421725684676,0.478274315324,7954.2,7844.2479612,8064.1520388
52,75.248,73.4654139497,77.0305860503,0.432,0.397819132388,0.466180867612,7995.66,7886.36366261,8104.95633739
53,75.446,73.861418623,77.030581377,0.416,0.385423389653,0.446576610347,8039.96,7930.15731658,8149.76268342
54,73.758,71.7864656673,75.7295343327,0.45,0.414028706405,0.485971293595,8080.4,7970.51425771,8190.28574229
