"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper"
560,22.63,20.314911803,24.945088197,0.97,0.93544497856,1.00455502144
570,21.75,19.7162241149,23.7837758851,0.99,0.967378428373,1.01262157163
580,21.91,20.0139068204,23.8060931796,0.98,0.949837904497,1.0101620955
590,21.29,19.8945140536,22.6854859464,0.99,0.967378428373,1.01262157163
600,21.94,19.9782460858,23.9017539142,0.98,0.949837904497,1.0101620955
610,21.16,19.6973715988,22.6226284012,1.0,1.0,1.0
620,21.19,19.5464252372,22.8335747628,0.99,0.967378428373,1.01262157163
630,21.5,20.0436829459,22.9563170541,0.99,0.967378428373,1.01262157163
640,20.79,19.8557963442,21.7242036558,1.0,1.0,1.0
650,20.73,19.949237102,21.510762898,1.0,1.0,1.0
660,21.34,19.7268917666,22.9531082334,0.99,0.967378428373,1.01262157163
670,21.1,19.3971099518,22.8028900482,0.99,0.967378428373,1.01262157163
680,20.53,20.0578283143,21.0021716857,1.0,1.0,1.0
690,20.95,19.4030895078,22.4969104922,0.99,0.967378428373,1.01262157163
700,20.99,19.3237489561,22.6562510439,0.99,0.967378428373,1.01262157163
710,21.17,19.7972725325,22.5427274675,0.99,0.967378428373,1.01262157163
720,21.09,20.0905178535,22.0894821465,1.0,1.0,1.0
730,20.96,19.7791433678,22.1408566322,1.0,1.0,1.0
740,21.04,19.6127877735,22.4672122265,0.99,0.967378428373,1.01262157163
750,20.68,19.2175271065,22.1424728935,0.99,0.967378428373,1.01262157163
760,20.81,19.7627355149,21.8572644851,1.0,1.0,1.0
770,21.26,19.6696107356,22.8503892644,0.99,0.967378428373,1.01262157163
780,21.12,19.4618389712,22.7781610288,0.99,0.967378428373,1.01262157163
790,21.11,19.6283494177,22.5916505823,0.99,0.967378428373,1.01262157163
800,20.49,20.0847012257,20.8952987743,1.0,1.0,1.0
810,20.65,20.0090554706,21.2909445294,1.0,1.0,1.0
820,21.2,19.6975612616,22.7024387384,0.99,0.967378428373,1.01262157163
830,20.64,20.2843941385,20.9956058615,1.0,1.0,1.0
840,20.5,20.1610956025,20.8389043975,1.0,1.0,1.0
