"episode","steps_mean","steps_lower","steps_upper","reward_mean","reward_lower","reward_upper","effort_mean","effort_lower","effort_upper"
42,96.02,94.775122172,97.264877828,0.068,0.0469507871388,0.0890492128612,4012.62,3978.2269375,4047.0130625
43,96.878,95.8834304929,97.8725695071,0.066,0.048200905066,0.083799094934,4107.98,4073.33897061,4142.62102939
44,96.346,95.1715396939,97.5204603061,0.07,0.0499042476551,0.0900957523449,4200.28,4167.01417199,4233.54582801
45,97.13,96.2311393334,98.0288606666,0.074,0.0560166445136,0.0919833554864,4298.64,4264.92262871,4332.35737129
46,96.798,95.7661084452,97.8298915548,0.064,0.0470062870261,0.0809937129739,4395.82,4361.08862365,4430.55137635
47,96.508,95.4027248222,97.6132751778,0.062,0.0448806565024,0.0791193434976,4487.6,4452.71740092,4522.48259908
48,97.142,96.1121615243,98.1718384757,0.058,0.0397618069355,0.0762381930645,4587.24,4552.17549764,4622.30450236
49,96.816,95.8324117182,97.7995882818,0.068,0.0523388844676,0.0836611155324,4683.22,4648.79673818,4717.64326182
50,96.382,95.1628949327,97.6011050673,0.08,0.0592982098576,0.100701790142,4779.0,4745.65088549,4812.34911451
51,96.164,95.0102902026,97.3177097974,0.068,0.0513195620527,0.0846804379473,4874.64,4841.243926,4908.036074
52,96.276,95.1002583202,97.4517416798,0.064,0.0451660088823,0.0828339911177,4966.28,4931.81176856,5000.74823144
53,96.196,95.0442177218,97.3477822782,0.068,0.0523388844676,0.0836611155324,5060.66,5027.25919549,5094.06080451
